method,n_samples,jsonl_basename,long_yaal_nca,long_yaal_ca,bleu,chrf_pp,comet_xl
rambr_chrf,4,mbr_rambr_chrf_n4_seg960,2.6925493,4.148015900000001,26.404169350488118,56.112491912294505,0.7974825311094905
rambr_chrf,8,mbr_rambr_chrf_n8_seg960,2.7488147,5.2542441,26.510350714777246,56.4168655830719,0.8065183633262785
rambr_chrf,16,mbr_rambr_chrf_n16_seg960,2.8619154,6.6991871000000005,26.81798066071966,56.509485330570886,0.8051818114502562
rambr_chrf,32,mbr_rambr_chrf_n32_seg960,2.8226489,9.5894522,25.473513710003964,56.16035024371553,0.8001849229432579
prunembr_xcomet,4,mbr_prunembr_xcomet_n4_seg960,2.6762109,4.065523,26.14012858791044,56.054211972717945,0.8162070036102564
prunembr_xcomet,8,mbr_prunembr_xcomet_n8_seg960,2.7434175,4.9344464,26.492854255218774,56.3835451817397,0.822014250288789
prunembr_xcomet,16,mbr_prunembr_xcomet_n16_seg960,2.7997422999999997,6.3681065,26.445464588286504,56.469518204328054,0.823878854195124
prunembr_xcomet,32,mbr_prunembr_xcomet_n32_seg960,2.8125629,9.054557,25.946785965947047,56.15049640725067,0.812102075050975
rerank_kiwi,4,mbr_rerank_kiwi_n4_seg960,2.6799331999999998,3.9762386000000003,26.918018109125537,56.065800134155566,0.8145663346117124
rerank_kiwi,8,mbr_rerank_kiwi_n8_seg960,2.7282812,4.8798623,26.93138815651421,56.2215365005043,0.8170271573453887
rerank_kiwi,16,mbr_rerank_kiwi_n16_seg960,2.7699112,6.341600499999999,26.818571562942235,56.230793712736925,0.8222671602471516
rerank_kiwi,32,mbr_rerank_kiwi_n32_seg960,2.7788359999999996,9.0344359,25.94317423924833,56.3903494640312924,0.8254683794924337
