method,n_samples,jsonl_basename,long_yaal_nca,long_yaal_ca,bleu,chrf_pp,comet_xl
rambr_chrf,4,partialmbr_rambr_chrf_n4_seg960,2.6792807,3.1547293,26.404169350488118,56.0268823,0.783180473629154
rambr_chrf,8,partialmbr_rambr_chrf_n8_seg960,2.6833641,3.3013847,26.510350714777246,56.2072781,0.790470382716594
rambr_chrf,16,partialmbr_rambr_chrf_n16_seg960,2.7168293,3.5287264,26.31798066071966,56.2400000,0.790730264817539
rambr_chrf,32,partialmbr_rambr_chrf_n32_seg960,2.7665934,3.6724183,25.473513710003964,56.0489575,0.785050391746285
prunembr_xcomet,4,partialmbr_prunembr_xcomet_n4_seg960,2.6743712,3.0982657,26.84012858791044,56.013005,0.784500193746258
prunembr_xcomet,8,partialmbr_prunembr_xcomet_n8_seg960,2.6737561,3.2218492,27.02285425521774,56.1519087,0.795030748293615
prunembr_xcomet,16,partialmbr_prunembr_xcomet_n16_seg960,2.6967835,3.4384651,26.99454645286504,56.1715647,0.796187284619537
prunembr_xcomet,32,partialmbr_prunembr_xcomet_n32_seg960,2.7398291,3.6512847,24.946785965947047,56.0444123,0.785414093726481
rerank_kiwi,4,partialmbr_rerank_kiwi_n4_seg960,2.6681748,3.0738472,26.428018109125537,56.0053452,0.780261182634759
rerank_kiwi,8,partialmbr_rerank_kiwi_n8_seg960,2.6588264,3.1747293,26.82138815651421,56.0771803,0.792859483726195
rerank_kiwi,16,partialmbr_rerank_kiwi_n16_seg960,2.68764193,3.3824817,26.9728571562942235,55.9952882,0.795140374829163
rerank_kiwi,32,partialmbr_rerank_kiwi_n32_seg960,2.7078457,3.6491634,27.99317423924833,56.1550472,0.793146483920174
