policy,run_tag,segment_idx,variant,yaal
hold_n1,asr_hold_n1_prunembr_xcomet_n8_seg960,1,cu,717.7582
hold_n1,asr_hold_n1_prunembr_xcomet_n8_seg960,2,cu,783.4135
hold_n1,asr_hold_n1_prunembr_xcomet_n8_seg960,2,ca,1675.9323
hold_n1,asr_hold_n1_prunembr_xcomet_n8_seg960,3,cu,1187.1136
hold_n1,asr_hold_n1_prunembr_xcomet_n8_seg960,3,ca,2438.7112
hold_n1,asr_hold_n1_prunembr_xcomet_n8_seg960,4,cu,1437.1212
hold_n1,asr_hold_n1_prunembr_xcomet_n8_seg960,4,ca,3442.4706
hold_n1,asr_hold_n1_prunembr_xcomet_n8_seg960,5,cu,493.9545
hold_n1,asr_hold_n1_prunembr_xcomet_n8_seg960,5,ca,1540.6166
hold_n1,asr_hold_n1_prunembr_xcomet_n8_seg960,6,cu,646.7727
hold_n1,asr_hold_n1_prunembr_xcomet_n8_seg960,7,cu,389.1141
hold_n1,asr_hold_n1_prunembr_xcomet_n8_seg960,7,ca,1680.0733
hold_n1,asr_hold_n1_prunembr_xcomet_n8_seg960,8,cu,1012.2353
hold_n1,asr_hold_n1_prunembr_xcomet_n8_seg960,8,ca,2546.0248
hold_n1,asr_hold_n1_prunembr_xcomet_n8_seg960,9,cu,94.6008
hold_n1,asr_hold_n1_prunembr_xcomet_n8_seg960,9,ca,1411.1598
hold_n1,asr_hold_n1_prunembr_xcomet_n8_seg960,10,cu,986.8153
hold_n1,asr_hold_n1_prunembr_xcomet_n8_seg960,10,ca,2242.7834
hold_n1,asr_hold_n1_prunembr_xcomet_n8_seg960,11,cu,345.1786
hold_n1,asr_hold_n1_prunembr_xcomet_n8_seg960,11,ca,1548.8760
hold_n1,asr_hold_n1_prunembr_xcomet_n8_seg960,12,cu,468.0000
hold_n1,asr_hold_n1_prunembr_xcomet_n8_seg960,13,cu,2662.2988
hold_n1,asr_hold_n1_prunembr_xcomet_n8_seg960,13,ca,3893.0472
hold_n1,asr_hold_n1_prunembr_xcomet_n8_seg960,14,cu,410.7857
hold_n1,asr_hold_n1_prunembr_xcomet_n8_seg960,14,ca,1245.5452
hold_n1,asr_hold_n1_prunembr_xcomet_n8_seg960,15,cu,382.9231
hold_n1,asr_hold_n1_prunembr_xcomet_n8_seg960,15,ca,1825.1370
hold_n1,asr_hold_n1_prunembr_xcomet_n8_seg960,16,cu,788.5645
hold_n1,asr_hold_n1_prunembr_xcomet_n8_seg960,16,ca,2357.9162
hold_n1,asr_hold_n1_prunembr_xcomet_n8_seg960,17,cu,1172.8333
hold_n1,asr_hold_n1_prunembr_xcomet_n8_seg960,17,ca,2239.1877
hold_n1,asr_hold_n1_prunembr_xcomet_n8_seg960,18,cu,931.4091
hold_n1,asr_hold_n1_prunembr_xcomet_n8_seg960,18,ca,2407.4949
hold_n1,asr_hold_n1_prunembr_xcomet_n8_seg960,19,cu,562.6154
hold_n1,asr_hold_n1_prunembr_xcomet_n8_seg960,19,ca,1762.2488
hold_n1,asr_hold_n1_prunembr_xcomet_n8_seg960,20,cu,799.8182
hold_n1,asr_hold_n1_prunembr_xcomet_n8_seg960,20,ca,1518.6298
hold_n1,asr_hold_n1_prunembr_xcomet_n8_seg960,21,cu,424.8235
hold_n1,asr_hold_n1_prunembr_xcomet_n8_seg960,21,ca,1657.7589
hold_n1,asr_hold_n1_prunembr_xcomet_n8_seg960,22,cu,1514.7500
hold_n1,asr_hold_n1_prunembr_xcomet_n8_seg960,22,ca,2972.0370
hold_n1,asr_hold_n1_prunembr_xcomet_n8_seg960,23,cu,421.7143
hold_n1,asr_hold_n1_prunembr_xcomet_n8_seg960,24,cu,377.0235
hold_n1,asr_hold_n1_prunembr_xcomet_n8_seg960,24,ca,1518.8019
hold_n1,asr_hold_n1_prunembr_xcomet_n8_seg960,25,cu,497.6071
hold_n1,asr_hold_n1_prunembr_xcomet_n8_seg960,25,ca,1634.3641
hold_n1,asr_hold_n1_prunembr_xcomet_n8_seg960,26,cu,1037.9143
hold_n1,asr_hold_n1_prunembr_xcomet_n8_seg960,26,ca,2216.4607
hold_n1,asr_hold_n1_prunembr_xcomet_n8_seg960,27,cu,1106.5588
hold_n1,asr_hold_n1_prunembr_xcomet_n8_seg960,27,ca,2264.8321
hold_n1,asr_hold_n1_prunembr_xcomet_n8_seg960,28,cu,553.5435
hold_n1,asr_hold_n1_prunembr_xcomet_n8_seg960,28,ca,1805.9287
hold_n1,asr_hold_n1_prunembr_xcomet_n8_seg960,29,cu,2040.4881
hold_n1,asr_hold_n1_prunembr_xcomet_n8_seg960,29,ca,3300.1935
hold_n1,asr_hold_n1_prunembr_xcomet_n8_seg960,30,cu,2412.5217
hold_n1,asr_hold_n1_prunembr_xcomet_n8_seg960,30,ca,4393.3024
hold_n1,asr_hold_n1_prunembr_xcomet_n8_seg960,31,cu,268.2857
hold_n1,asr_hold_n1_prunembr_xcomet_n8_seg960,31,ca,1467.8120
hold_n1,asr_hold_n1_prunembr_xcomet_n8_seg960,32,cu,631.6783
hold_n1,asr_hold_n1_prunembr_xcomet_n8_seg960,32,ca,1891.3115
hold_n1,asr_hold_n1_prunembr_xcomet_n8_seg960,33,cu,1677.0960
hold_n1,asr_hold_n1_prunembr_xcomet_n8_seg960,33,ca,3053.3512
hold_n1,asr_hold_n1_prunembr_xcomet_n8_seg960,34,cu,1411.0286
hold_n1,asr_hold_n1_prunembr_xcomet_n8_seg960,34,ca,1920.3090
hold_n1,asr_hold_n1_prunembr_xcomet_n8_seg960,35,cu,244.6500
hold_n1,asr_hold_n1_prunembr_xcomet_n8_seg960,35,ca,1113.9517
hold_n1,asr_hold_n1_prunembr_xcomet_n8_seg960,36,cu,35.7124
hold_n1,asr_hold_n1_prunembr_xcomet_n8_seg960,36,ca,1101.2203
hold_n1,asr_hold_n1_prunembr_xcomet_n8_seg960,37,cu,285.1212
hold_n1,asr_hold_n1_prunembr_xcomet_n8_seg960,37,ca,1714.6201
hold_n1,asr_hold_n1_prunembr_xcomet_n8_seg960,38,cu,596.6429
hold_n1,asr_hold_n1_prunembr_xcomet_n8_seg960,38,ca,1424.6271
hold_n1,asr_hold_n1_prunembr_xcomet_n8_seg960,39,cu,838.9221
hold_n1,asr_hold_n1_prunembr_xcomet_n8_seg960,39,ca,1264.0207
hold_n1,asr_hold_n1_prunembr_xcomet_n8_seg960,40,cu,237.3297
hold_n1,asr_hold_n1_prunembr_xcomet_n8_seg960,40,ca,1313.1100
hold_n1,asr_hold_n1_prunembr_xcomet_n8_seg960,41,cu,446.0227
hold_n1,asr_hold_n1_prunembr_xcomet_n8_seg960,41,ca,1458.2172
hold_n1,asr_hold_n1_prunembr_xcomet_n8_seg960,42,cu,1733.0000
hold_n1,asr_hold_n1_prunembr_xcomet_n8_seg960,42,ca,3214.2378
hold_n1,asr_hold_n1_prunembr_xcomet_n8_seg960,43,cu,274.2500
hold_n1,asr_hold_n1_prunembr_xcomet_n8_seg960,43,ca,1611.3287
hold_n1,asr_hold_n1_prunembr_xcomet_n8_seg960,44,cu,812.8846
hold_n1,asr_hold_n1_prunembr_xcomet_n8_seg960,44,ca,2228.8489
hold_n1,asr_hold_n1_prunembr_xcomet_n8_seg960,45,cu,511.3333
hold_n1,asr_hold_n1_prunembr_xcomet_n8_seg960,45,ca,1803.3417
hold_n1,asr_hold_n1_prunembr_xcomet_n8_seg960,46,cu,803.6750
hold_n1,asr_hold_n1_prunembr_xcomet_n8_seg960,46,ca,1875.6429
hold_n1,asr_hold_n1_prunembr_xcomet_n8_seg960,47,cu,449.5000
hold_n1,asr_hold_n1_prunembr_xcomet_n8_seg960,47,ca,1759.4703
