policy,run_tag,segment_idx,variant,yaal
mt_hybrid_k1_tau1,mt_mt_hybrid_k1_tau1_prunembr_xcomet_n8_seg960,1,cu,3154.9899
mt_hybrid_k1_tau1,mt_mt_hybrid_k1_tau1_prunembr_xcomet_n8_seg960,1,ca,3663.3432
mt_hybrid_k1_tau1,mt_mt_hybrid_k1_tau1_prunembr_xcomet_n8_seg960,2,cu,1674.6970
mt_hybrid_k1_tau1,mt_mt_hybrid_k1_tau1_prunembr_xcomet_n8_seg960,2,ca,2031.5883
mt_hybrid_k1_tau1,mt_mt_hybrid_k1_tau1_prunembr_xcomet_n8_seg960,3,cu,2505.5462
mt_hybrid_k1_tau1,mt_mt_hybrid_k1_tau1_prunembr_xcomet_n8_seg960,3,ca,2721.1397
mt_hybrid_k1_tau1,mt_mt_hybrid_k1_tau1_prunembr_xcomet_n8_seg960,5,cu,1693.9545
mt_hybrid_k1_tau1,mt_mt_hybrid_k1_tau1_prunembr_xcomet_n8_seg960,5,ca,1924.7902
mt_hybrid_k1_tau1,mt_mt_hybrid_k1_tau1_prunembr_xcomet_n8_seg960,6,cu,1398.9857
mt_hybrid_k1_tau1,mt_mt_hybrid_k1_tau1_prunembr_xcomet_n8_seg960,6,ca,1758.9141
mt_hybrid_k1_tau1,mt_mt_hybrid_k1_tau1_prunembr_xcomet_n8_seg960,7,cu,2379.9804
mt_hybrid_k1_tau1,mt_mt_hybrid_k1_tau1_prunembr_xcomet_n8_seg960,7,ca,2791.4270
mt_hybrid_k1_tau1,mt_mt_hybrid_k1_tau1_prunembr_xcomet_n8_seg960,8,cu,2447.5357
mt_hybrid_k1_tau1,mt_mt_hybrid_k1_tau1_prunembr_xcomet_n8_seg960,8,ca,3209.8519
mt_hybrid_k1_tau1,mt_mt_hybrid_k1_tau1_prunembr_xcomet_n8_seg960,9,cu,1884.7669
mt_hybrid_k1_tau1,mt_mt_hybrid_k1_tau1_prunembr_xcomet_n8_seg960,9,ca,2122.5242
mt_hybrid_k1_tau1,mt_mt_hybrid_k1_tau1_prunembr_xcomet_n8_seg960,10,cu,1543.6889
mt_hybrid_k1_tau1,mt_mt_hybrid_k1_tau1_prunembr_xcomet_n8_seg960,10,ca,1904.1537
mt_hybrid_k1_tau1,mt_mt_hybrid_k1_tau1_prunembr_xcomet_n8_seg960,13,cu,3640.5337
mt_hybrid_k1_tau1,mt_mt_hybrid_k1_tau1_prunembr_xcomet_n8_seg960,13,ca,4247.6857
mt_hybrid_k1_tau1,mt_mt_hybrid_k1_tau1_prunembr_xcomet_n8_seg960,15,cu,1885.0833
