policy_tag,policy,wait_k,mt_tau,method,n_samples,run_name,long_yaal_nca,long_yaal_ca,bleu,chrf_pp,comet_xl,wer
mt_waitk3,wait_k,3,,rambr_chrf,8,mt_mt_waitk3_rambr_chrf_n8_seg960,1.6732482,2.0560872,23.756026900731452,54.19628134646961,0.7721013816184977,0.066508
mt_waitk3,wait_k,3,,prunembr_xcomet,8,mt_mt_waitk3_prunembr_xcomet_n8_seg960,1.6786675,2.0576100999999998,24.165453009972683,54.329207481779605,0.7817431801659429,0.066508
mt_waitk3,wait_k,3,,rerank_kiwi,8,mt_mt_waitk3_rerank_kiwi_n8_seg960,1.6647292999999999,2.0540655,24.01033075960931,54.35039133826304,0.7801606527123696,0.066508
mt_waitk5,wait_k,5,,rambr_chrf,8,mt_mt_waitk5_rambr_chrf_n8_seg960,2.2916954,2.7465985,26.214353307291198,55.950650097502866,0.8139415785001639,0.066508
mt_waitk5,wait_k,5,,prunembr_xcomet,8,mt_mt_waitk5_prunembr_xcomet_n8_seg960,2.2794830000000004,2.7342577,26.575680518387855,56.05796725502681,0.8210087307911907,0.066508
mt_waitk5,wait_k,5,,rerank_kiwi,8,mt_mt_waitk5_rerank_kiwi_n8_seg960,2.269087,2.7393972,26.49055038776042,55.99653442290755,0.8227047611218996,0.066508
mt_tla_tau1,tolerant_agreement,,1,rambr_chrf,8,mt_mt_tla_tau1_rambr_chrf_n8_seg960,2.2980818,2.7278388,27.66884580220081,56.703905428243864,0.8324586722012769,0.066508
mt_tla_tau1,tolerant_agreement,,1,prunembr_xcomet,8,mt_mt_tla_tau1_prunembr_xcomet_n8_seg960,2.302411,2.750466,28.0830449191162,57.0082147696567,0.8388129078552254,0.066508
mt_tla_tau1,tolerant_agreement,,1,rerank_kiwi,8,mt_mt_tla_tau1_rerank_kiwi_n8_seg960,2.2725021,2.7175344,27.75045941684064,56.538412132411906,0.8291864959666362,0.066508
mt_tla_tau2,tolerant_agreement,,2,rambr_chrf,8,mt_mt_tla_tau2_rambr_chrf_n8_seg960,2.2601651,2.6748070999999998,27.53051826545089,56.52492048238792,0.8302127931298863,0.066508
mt_tla_tau2,tolerant_agreement,,2,prunembr_xcomet,8,mt_mt_tla_tau2_prunembr_xcomet_n8_seg960,2.2578523,2.6893165,28.1097726713722,56.88766850181294,0.8364568658682525,0.066508
mt_tla_tau2,tolerant_agreement,,2,rerank_kiwi,8,mt_mt_tla_tau2_rerank_kiwi_n8_seg960,2.2317337999999998,2.6562568,27.57676218212908,56.2929853506301,0.8242088147144542,0.066508
